time,angle1 data,angle2 data,angle1 solution,angle2 solution,angle1a data,angle2a data,angle1a solution,angle2a solution
5.75,0.052,0.035,-0.031,-0.029,0.044,-0.083,-0.01,0.01
5.8,0.052,0.035,-0.023,-0.02,0.044,-0.083,-0.02,0.02
5.85,0.052,0.052,-0.013,-0.009,0.044,-0.066,-0.03,0.03
5.9,0.052,0.052,-0.003,0.002,0.044,-0.066,-0.04,0.03
5.95,0.035,0.07,0.007,0.013,0.027,-0.048,-0.04,0.04
6,0.017,0.087,0.017,0.022,0.009,-0.031,-0.04,0.04
6.05,0.017,0.105,0.025,0.03,0.009,-0.013,-0.04,0.04
6.1,0,0.122,0.031,0.036,-0.008,0.004,-0.04,0.03
6.15,-0.017,0.157,0.034,0.038,-0.025,0.039,-0.03,0.03
6.2,-0.017,0.175,0.035,0.037,-0.025,0.057,-0.02,0.02
6.25,-0.035,0.175,0.032,0.034,-0.043,0.057,-0.01,0.01
6.3,-0.035,0.192,0.027,0.027,-0.043,0.074,0,0
6.35,-0.035,0.192,0.02,0.018,-0.043,0.074,0.01,-0.01
6.4,-0.035,0.192,0.011,0.008,-0.043,0.074,0.02,-0.02
6.45,-0.035,0.192,0.001,-0.003,-0.043,0.074,0.03,-0.03
6.5,-0.017,0.175,-0.009,-0.014,-0.025,0.057,0.03,-0.04
6.55,-0.017,0.157,-0.019,-0.025,-0.025,0.039,0.04,-0.04
6.6,0,0.14,-0.027,-0.033,-0.008,0.022,0.04,-0.04
6.65,0.017,0.122,-0.034,-0.039,0.009,0.004,0.04,-0.04
6.7,0.017,0.105,-0.038,-0.042,0.009,-0.013,0.03,-0.04
6.75,0.035,0.087,-0.039,-0.042,0.027,-0.031,0.02,-0.03
6.8,0.052,0.07,-0.037,-0.039,0.044,-0.048,0.02,-0.02
6.85,0.052,0.052,-0.032,-0.033,0.044,-0.066,0.01,-0.01
6.9,0.052,0.052,-0.025,-0.025,0.044,-0.066,0,0
6.95,0.052,0.035,-0.017,-0.015,0.044,-0.083,-0.01,0.01
7,0.052,0.052,-0.007,-0.004,0.044,-0.066,-0.02,0.02
7.05,0.052,0.052,0.003,0.007,0.044,-0.066,-0.03,0.03
7.1,0.035,0.07,0.013,0.018,0.027,-0.048,-0.04,0.03
7.15,0.017,0.087,0.022,0.027,0.009,-0.031,-0.04,0.04
7.2,0.017,0.105,0.028,0.034,0.009,-0.013,-0.04,0.04
7.25,0,0.122,0.032,0.038,-0.008,0.004,-0.04,0.04
7.3,-0.017,0.14,0.034,0.039,-0.025,0.022,-0.04,0.03
7.35,-0.017,0.157,0.033,0.037,-0.025,0.039,-0.03,0.02
