time,angle1 data,angle2 data,angle1 solution,angle2 solution,angle1a data,angle2a data,angle1a solution,angle2a solution
4.95,-0.07,0.087,-0.085,0.093,-0.1477,0.1429,-0.08,0.09
5,-0.035,0.052,-0.058,0.068,-0.1127,0.1079,-0.06,0.07
5.05,0,0.017,-0.027,0.038,-0.0777,0.0729,-0.03,0.04
5.1,0.052,-0.017,0.005,0.006,-0.0257,0.0389,0,0
5.15,0.105,-0.052,0.037,-0.028,0.0273,0.0039,0.03,-0.03
5.2,0.14,-0.105,0.067,-0.059,0.0623,-0.0491,0.06,-0.06
5.25,0.192,-0.14,0.091,-0.087,0.1143,-0.0841,0.09,-0.09
5.3,0.209,-0.175,0.109,-0.109,0.1313,-0.1191,0.1,-0.11
5.35,0.244,-0.192,0.119,-0.124,0.1663,-0.1361,0.12,-0.13
5.4,0.244,-0.209,0.122,-0.13,0.1663,-0.1531,0.12,-0.13
5.45,0.244,-0.209,0.115,-0.128,0.1663,-0.1531,0.11,-0.13
5.5,0.227,-0.209,0.101,-0.117,0.1493,-0.1531,0.1,-0.12
5.55,0.209,-0.192,0.08,-0.098,0.1313,-0.1361,0.08,-0.1
5.6,0.175,-0.157,0.053,-0.073,0.0973,-0.1011,0.05,-0.07
5.65,0.122,-0.122,0.023,-0.042,0.0443,-0.0661,0.02,-0.04
5.7,0.087,-0.087,-0.009,-0.009,0.0093,-0.0311,-0.01,-0.01
5.75,0.035,-0.035,-0.041,0.024,-0.0427,0.0209,-0.04,0.03
5.8,0,0,-0.069,0.056,-0.0777,0.0559,-0.07,0.06
5.85,-0.035,0.035,-0.094,0.084,-0.1127,0.0909,-0.09,0.09
5.9,-0.07,0.07,-0.112,0.107,-0.1477,0.1259,-0.11,0.11
5.95,-0.087,0.087,-0.122,0.121,-0.1647,0.1429,-0.12,0.12
6,-0.087,0.105,-0.124,0.128,-0.1647,0.1609,-0.12,0.13
6.05,-0.087,0.105,-0.118,0.125,-0.1647,0.1609,-0.12,0.13
6.1,-0.07,0.087,-0.105,0.114,-0.1477,0.1429,-0.1,0.11
6.15,-0.035,0.07,-0.084,0.095,-0.1127,0.1259,-0.09,0.09
6.2,0,0.035,-0.057,0.069,-0.0777,0.0909,-0.06,0.07
6.25,0.052,-0.017,-0.027,0.038,-0.0257,0.0389,-0.03,0.04
6.3,0.087,-0.052,0.004,0.004,0.0093,0.0039,0,0
6.35,0.14,-0.087,0.035,-0.03,0.0623,-0.0311,0.03,-0.03
6.4,0.175,-0.14,0.064,-0.062,0.0973,-0.0841,0.06,-0.07
6.45,0.209,-0.157,0.088,-0.09,0.1313,-0.1011,0.08,-0.09
6.5,0.227,-0.192,0.106,-0.112,0.1493,-0.1361,0.1,-0.12
6.55,0.244,-0.209,0.116,-0.127,0.1663,-0.1531,0.11,-0.13
6.6,0.244,-0.209,0.119,-0.133,0.1663,-0.1531,0.12,-0.14
6.65,0.227,-0.209,0.113,-0.13,0.1493,-0.1531,0.11,-0.13
6.7,0.209,-0.192,0.1,-0.119,0.1313,-0.1361,0.1,-0.12
6.75,0.175,-0.157,0.079,-0.099,0.0973,-0.1011,0.08,-0.1
6.8,0.14,-0.122,0.053,-0.073,0.0623,-0.0661,0.06,-0.07
6.85,0.087,-0.087,0.024,-0.041,0.0093,-0.0311,0.03,-0.04
6.9,0.052,-0.052,-0.007,-0.008,-0.0257,0.0039,0,0
6.95,0,0,-0.038,0.027,-0.0777,0.0559,-0.03,0.03
7,-0.035,0.035,-0.067,0.059,-0.1127,0.0909,-0.06,0.06
7.05,-0.07,0.07,-0.09,0.088,-0.1477,0.1259,-0.09,0.09
7.1,-0.087,0.087,-0.108,0.11,-0.1647,0.1429,-0.11,0.11
7.15,-0.087,0.105,-0.119,0.124,-0.1647,0.1609,-0.12,0.13
7.2,-0.087,0.105,-0.122,0.13,-0.1647,0.1609,-0.12,0.13
7.25,-0.07,0.087,-0.117,0.127,-0.1477,0.1429,-0.12,0.13
7.3,-0.035,0.07,-0.103,0.115,-0.1127,0.1259,-0.11,0.11
7.35,0,0.035,-0.084,0.095,-0.0777,0.0909,-0.09,0.09
7.4,0.035,0,-0.058,0.068,-0.0427,0.0559,-0.06,0.06
7.45,0.087,-0.052,-0.029,0.036,0.0093,0.0039,-0.03,0.03
7.5,0.122,-0.087,0.002,0.002,0.0443,-0.0311,0,0
7.55,0.175,-0.122,0.033,-0.033,0.0973,-0.0661,0.03,-0.04
7.6,0.209,-0.157,0.061,-0.065,0.1313,-0.1011,0.06,-0.07
7.65,0.227,-0.192,0.085,-0.093,0.1493,-0.1361,0.08,-0.1
7.7,0.244,-0.209,0.103,-0.115,0.1663,-0.1531,0.1,-0.12
7.75,0.244,-0.209,0.114,-0.13,0.1663,-0.1531,0.11,-0.13
7.8,0.244,-0.209,0.117,-0.135,0.1663,-0.1531,0.12,-0.14
7.85,0.209,-0.192,0.112,-0.132,0.1313,-0.1361,0.11,-0.13
7.9,0.175,-0.157,0.099,-0.119,0.0973,-0.1011,0.1,-0.12
7.95,0.14,-0.122,0.08,-0.099,0.0623,-0.0661,0.08,-0.1
8,0.105,-0.087,0.055,-0.071,0.0273,-0.0311,0.06,-0.07
8.05,0.052,-0.052,0.026,-0.039,-0.0257,0.0039,0.03,-0.04
8.1,0,-0.017,-0.005,-0.005,-0.0777,0.0389,0,0
8.15,-0.035,0.035,-0.035,0.03,-0.1127,0.0909,-0.03,0.03
8.2,-0.07,0.052,-0.063,0.063,-0.1477,0.1079,-0.06,0.07
8.25,-0.087,0.087,-0.087,0.091,-0.1647,0.1429,-0.08,0.09
8.3,-0.087,0.087,-0.106,0.112,-0.1647,0.1429,-0.1,0.11
8.35,-0.087,0.105,-0.117,0.126,-0.1647,0.1609,-0.12,0.13
8.4,-0.07,0.087,-0.12,0.132,-0.1477,0.1429,-0.12,0.13
8.45,-0.052,0.07,-0.116,0.128,-0.1297,0.1259,-0.12,0.12
8.5,-0.017,0.035,-0.104,0.115,-0.0947,0.0909,-0.11,0.11
8.55,0.035,0,-0.085,0.094,-0.0427,0.0559,-0.09,0.09
8.6,0.07,-0.035,-0.06,0.066,-0.0077,0.0209,-0.07,0.06
8.65,0.122,-0.087,-0.032,0.034,0.0443,-0.0311,-0.04,0.03
8.7,0.175,-0.122,-0.001,-0.001,0.0973,-0.0661,-0.01,-0.01
8.75,0.209,-0.157,0.029,-0.036,0.1313,-0.1011,0.02,-0.04
8.8,0.227,-0.175,0.058,-0.068,0.1493,-0.1191,0.05,-0.07
8.85,0.244,-0.192,0.082,-0.096,0.1663,-0.1361,0.08,-0.1
8.9,0.244,-0.209,0.1,-0.118,0.1663,-0.1531,0.1,-0.12
8.95,0.244,-0.209,0.112,-0.131,0.1663,-0.1531,0.11,-0.13
9,0.209,-0.192,0.116,-0.136,0.1313,-0.1361,0.12,-0.13
