time,angle1,angle2
37.05,0,0
37.1,-0.035,0.035
37.15,-0.052,0.052
37.2,-0.07,0.07
37.25,-0.07,0.07
37.3,-0.07,0.07
37.35,-0.052,0.052
37.4,-0.035,0.035
37.45,0,0
37.5,0.052,-0.035
37.55,0.087,-0.07
37.6,0.122,-0.087
37.65,0.157,-0.122
37.7,0.192,-0.157
37.75,0.209,-0.175
37.8,0.227,-0.175
37.85,0.227,-0.175
37.9,0.227,-0.175
37.95,0.192,-0.157
38,0.175,-0.122
38.05,0.14,-0.105
38.1,0.087,-0.07
38.15,0.052,-0.035
38.2,0.017,0
38.25,-0.017,0.017
38.3,-0.052,0.052
38.35,-0.07,0.07
38.4,-0.07,0.07
38.45,-0.07,0.07
38.5,-0.052,0.052
38.55,-0.035,0.035
38.6,0,0
38.65,0.035,-0.017
38.7,0.087,-0.052
38.75,0.122,-0.087
38.8,0.157,-0.122
38.85,0.192,-0.14
38.9,0.209,-0.175
38.95,0.227,-0.175
39,0.227,-0.175
39.05,0.227,-0.175
39.1,0.209,-0.157
39.15,0.175,-0.14
39.2,0.14,-0.105
39.25,0.105,-0.07
39.3,0.052,-0.035
39.35,0.017,0
39.4,-0.017,0.017
39.45,-0.052,0.052
39.5,-0.07,0.052
39.55,-0.07,0.07
39.6,-0.07,0.07
39.65,-0.052,0.052
39.7,-0.035,0.035
39.75,0,0.017
39.8,0.035,-0.017
39.85,0.07,-0.052
39.9,0.122,-0.087
39.95,0.157,-0.122
40,0.192,-0.14
40.05,0.209,-0.157
40.1,0.227,-0.175
40.15,0.227,-0.175
40.2,0.227,-0.175
40.25,0.209,-0.157
40.3,0.175,-0.14
40.35,0.14,-0.105
40.4,0.105,-0.07
40.45,0.07,-0.052
40.5,0.017,-0.017
40.55,-0.017,0.017
40.6,-0.035,0.035
40.65,-0.07,0.052
40.7,-0.07,0.07
40.75,-0.07,0.07
40.8,-0.052,0.052
40.85,-0.035,0.035
40.9,0,0.017
40.95,0.035,-0.017
41,0.07,-0.052
41.05,0.105,-0.087
41.1,0.157,-0.105
41.15,0.175,-0.14
41.2,0.209,-0.157
41.25,0.227,-0.175
41.3,0.227,-0.175
41.35,0.227,-0.175
41.4,0.209,-0.157
41.45,0.175,-0.14
41.5,0.14,-0.105
41.55,0.105,-0.087
41.6,0.07,-0.052
41.65,0.035,-0.017
41.7,0,0.017
41.75,-0.035,0.035
41.8,-0.052,0.052
41.85,-0.07,0.07
41.9,-0.07,0.07
41.95,-0.07,0.052
42,-0.035,0.035
42.05,-0.017,0.017
42.1,0.017,-0.017
42.15,0.07,-0.052
42.2,0.105,-0.07
42.25,0.14,-0.105
42.3,0.175,-0.14
42.35,0.209,-0.157
42.4,0.227,-0.175
42.45,0.227,-0.175
42.5,0.227,-0.175
42.55,0.209,-0.157
42.6,0.192,-0.14
42.65,0.157,-0.122
42.7,0.122,-0.087
42.75,0.07,-0.052
42.8,0.035,-0.017
42.85,0,0.017
42.9,-0.035,0.035
42.95,-0.052,0.052
43,-0.07,0.07
43.05,-0.07,0.07
43.1,-0.07,0.052
43.15,-0.035,0.035
43.2,-0.017,0.017
43.25,0.017,-0.017
43.3,0.052,-0.035
43.35,0.105,-0.07
43.4,0.14,-0.105
43.45,0.175,-0.14
43.5,0.192,-0.157
43.55,0.209,-0.175
43.6,0.227,-0.175
43.65,0.227,-0.175
43.7,0.209,-0.157
43.75,0.192,-0.14
43.8,0.157,-0.122
43.85,0.122,-0.087
43.9,0.087,-0.052
43.95,0.035,-0.017
44,0,0
44.05,-0.035,0.035
44.1,-0.052,0.052
44.15,-0.07,0.07
44.2,-0.07,0.07
44.25,-0.07,0.052
44.3,-0.052,0.052
44.35,-0.017,0.017
44.4,0.017,0
44.45,0.052,-0.035
44.5,0.087,-0.07
44.55,0.14,-0.105
44.6,0.175,-0.122
44.65,0.192,-0.157
44.7,0.209,-0.175
44.75,0.227,-0.175
44.8,0.227,-0.175
44.85,0.209,-0.157
44.9,0.192,-0.14
44.95,0.157,-0.122
45,0.122,-0.087
45.05,0.087,-0.052
45.1,0.052,-0.035
45.15,0.017,0
45.2,-0.017,0.035
45.25,-0.052,0.052
45.3,-0.07,0.052
45.35,-0.07,0.07
45.4,-0.07,0.052
45.45,-0.052,0.052
45.5,-0.017,0.017
45.55,0.017,0
45.6,0.052,-0.035
45.65,0.087,-0.07
45.7,0.122,-0.105
45.75,0.157,-0.122
45.8,0.192,-0.157
45.85,0.209,-0.175
45.9,0.227,-0.175
45.95,0.227,-0.175
46,0.209,-0.157
46.05,0.192,-0.157
46.1,0.157,-0.122
46.15,0.122,-0.105
46.2,0.087,-0.07
46.25,0.052,-0.035
46.3,0.017,0
46.35,-0.017,0.017
46.4,-0.052,0.052
46.45,-0.07,0.052
46.5,-0.07,0.07
46.55,-0.07,0.052
46.6,-0.052,0.052
46.65,-0.035,0.035
46.7,0,0
46.75,0.035,-0.035
46.8,0.087,-0.07
46.85,0.122,-0.087
46.9,0.157,-0.122
46.95,0.192,-0.14
47,0.209,-0.157
47.05,0.227,-0.175
47.1,0.227,-0.175
47.15,0.209,-0.175
47.2,0.192,-0.157
47.25,0.175,-0.122
47.3,0.14,-0.105
47.35,0.105,-0.07
47.4,0.052,-0.035
47.45,0.017,0
47.5,-0.017,0.017
47.55,-0.035,0.035
47.6,-0.052,0.052
47.65,-0.07,0.07
47.7,-0.07,0.052
47.75,-0.052,0.052
47.8,-0.035,0.035
47.85,0,0
47.9,0.035,-0.017
47.95,0.07,-0.052
48,0.122,-0.087
48.05,0.157,-0.122
48.1,0.175,-0.14
48.15,0.209,-0.157
48.2,0.227,-0.175
48.25,0.227,-0.175
48.3,0.209,-0.175
48.35,0.192,-0.157
48.4,0.175,-0.122
48.45,0.14,-0.105
48.5,0.105,-0.07
48.55,0.07,-0.035
48.6,0.017,-0.017
48.65,-0.017,0.017
48.7,-0.035,0.035
48.75,-0.052,0.052
48.8,-0.07,0.07
48.85,-0.07,0.052
48.9,-0.052,0.052
48.95,-0.035,0.035
49,0,0
49.05,0.035,-0.017
49.1,0.07,-0.052
49.15,0.105,-0.087
49.2,0.14,-0.122
49.25,0.175,-0.14
49.3,0.209,-0.157
49.35,0.209,-0.175
49.4,0.227,-0.175
49.45,0.209,-0.175
49.5,0.209,-0.157
49.55,0.175,-0.14
49.6,0.14,-0.105
49.65,0.105,-0.07
49.7,0.07,-0.052
49.75,0.035,-0.017
49.8,0,0.017
49.85,-0.035,0.035
49.9,-0.052,0.052
49.95,-0.07,0.052
50,-0.07,0.052
50.05,-0.052,0.052
50.1,-0.035,0.035
50.15,0,0.017
50.2,0.017,-0.017
50.25,0.07,-0.052
50.3,0.105,-0.087
50.35,0.14,-0.105
50.4,0.175,-0.14
50.45,0.192,-0.157
50.5,0.209,-0.175
50.55,0.227,-0.175
50.6,0.227,-0.175
50.65,0.209,-0.157
50.7,0.175,-0.14
50.75,0.157,-0.105
50.8,0.122,-0.087
50.85,0.07,-0.052
50.9,0.035,-0.017
50.95,0,0.017
51,-0.035,0.035
51.05,-0.052,0.052
51.1,-0.07,0.052
51.15,-0.07,0.052
51.2,-0.052,0.052
51.25,-0.035,0.035
51.3,-0.017,0.017
51.35,0.017,-0.017
51.4,0.052,-0.052
51.45,0.105,-0.07
51.5,0.14,-0.105
51.55,0.175,-0.14
51.6,0.192,-0.157
51.65,0.209,-0.175
51.7,0.227,-0.175
51.75,0.227,-0.175
51.8,0.209,-0.157
51.85,0.192,-0.14
51.9,0.157,-0.122
51.95,0.122,-0.087
52,0.087,-0.052
52.05,0.035,-0.017
52.1,0,0
52.15,-0.017,0.035
52.2,-0.052,0.052
52.25,-0.052,0.052
52.3,-0.07,0.052
52.35,-0.052,0.052
52.4,-0.035,0.035
52.45,-0.017,0.017
52.5,0.017,-0.017
52.55,0.052,-0.035
52.6,0.087,-0.07
52.65,0.122,-0.105
52.7,0.157,-0.122
52.75,0.192,-0.157
52.8,0.209,-0.175
52.85,0.227,-0.175
52.9,0.227,-0.175
52.95,0.209,-0.157
53,0.192,-0.14
53.05,0.157,-0.122
53.1,0.122,-0.087
53.15,0.087,-0.052
53.2,0.052,-0.017
53.25,0.017,0
