time,angle1,angle2
38.9,-0.017,0.14
38.95,0,0.14
39,0.017,0.122
39.05,0.035,0.122
39.1,0.052,0.105
39.15,0.052,0.105
39.2,0.07,0.087
39.25,0.07,0.087
39.3,0.07,0.087
39.35,0.052,0.087
39.4,0.052,0.087
39.45,0.035,0.087
39.5,0.017,0.087
39.55,0,0.105
39.6,0,0.122
39.65,-0.017,0.122
39.7,-0.035,0.14
39.75,-0.035,0.14
39.8,-0.052,0.157
39.85,-0.052,0.157
39.9,-0.052,0.157
39.95,-0.035,0.157
40,-0.035,0.157
40.05,-0.017,0.14
40.1,0,0.14
40.15,0.017,0.122
40.2,0.035,0.122
40.25,0.035,0.105
40.3,0.052,0.105
40.35,0.052,0.087
40.4,0.07,0.087
40.45,0.07,0.087
40.5,0.052,0.087
40.55,0.052,0.087
40.6,0.035,0.087
40.65,0.017,0.087
40.7,0.017,0.105
40.75,0,0.105
40.8,-0.017,0.122
40.85,-0.035,0.14
40.9,-0.035,0.14
40.95,-0.052,0.157
41,-0.052,0.157
41.05,-0.052,0.157
41.1,-0.035,0.157
41.15,-0.035,0.157
41.2,-0.017,0.14
41.25,0,0.14
41.3,0.017,0.122
41.35,0.035,0.122
41.4,0.035,0.105
41.45,0.052,0.105
41.5,0.052,0.087
41.55,0.07,0.087
41.6,0.07,0.087
41.65,0.052,0.087
41.7,0.052,0.087
41.75,0.035,0.087
41.8,0.035,0.087
41.85,0.017,0.105
41.9,0,0.105
41.95,-0.017,0.122
42,-0.035,0.14
42.05,-0.035,0.14
42.1,-0.052,0.14
42.15,-0.052,0.157
42.2,-0.052,0.157
42.25,-0.035,0.157
42.3,-0.035,0.157
42.35,-0.017,0.14
42.4,0,0.14
42.45,0.017,0.122
42.5,0.017,0.122
42.55,0.035,0.105
42.6,0.052,0.105
42.65,0.052,0.087
42.7,0.07,0.087
42.75,0.07,0.087
42.8,0.052,0.087
42.85,0.052,0.087
42.9,0.035,0.087
42.95,0.035,0.087
43,0.017,0.105
43.05,0,0.105
43.1,-0.017,0.122
43.15,-0.035,0.14
43.2,-0.035,0.14
43.25,-0.052,0.14
43.3,-0.052,0.157
43.35,-0.052,0.157
43.4,-0.035,0.157
43.45,-0.035,0.157
43.5,-0.017,0.14
43.55,0,0.14
43.6,0,0.122
43.65,0.017,0.122
43.7,0.035,0.105
43.75,0.052,0.105
43.8,0.052,0.087
43.85,0.07,0.087
43.9,0.07,0.087
43.95,0.07,0.087
44,0.052,0.087
44.05,0.052,0.087
44.1,0.035,0.087
44.15,0.017,0.105
44.2,0,0.105
44.25,-0.017,0.122
44.3,-0.035,0.122
44.35,-0.035,0.14
44.4,-0.052,0.14
44.45,-0.052,0.157
44.5,-0.052,0.157
44.55,-0.035,0.157
44.6,-0.035,0.157
44.65,-0.017,0.14
44.7,0,0.14
44.75,0,0.122
44.8,0.017,0.122
44.85,0.035,0.105
44.9,0.052,0.105
44.95,0.052,0.087
45,0.07,0.087
45.05,0.07,0.087
45.1,0.07,0.087
45.15,0.052,0.087
45.2,0.052,0.087
45.25,0.035,0.087
45.3,0.017,0.105
45.35,0,0.105
45.4,-0.017,0.122
45.45,-0.017,0.122
45.5,-0.035,0.14
45.55,-0.035,0.14
45.6,-0.052,0.157
45.65,-0.052,0.157
45.7,-0.035,0.157
45.75,-0.035,0.157
45.8,-0.017,0.14
45.85,-0.017,0.14
45.9,0,0.122
45.95,0.017,0.122
46,0.035,0.105
46.05,0.052,0.105
46.1,0.052,0.105
46.15,0.07,0.087
46.2,0.07,0.087
46.25,0.07,0.087
46.3,0.052,0.087
46.35,0.052,0.087
46.4,0.035,0.087
46.45,0.017,0.105
46.5,0,0.105
46.55,-0.017,0.122
46.6,-0.017,0.122
46.65,-0.035,0.14
46.7,-0.035,0.14
46.75,-0.052,0.14
46.8,-0.052,0.157
46.85,-0.052,0.157
46.9,-0.035,0.157
46.95,-0.017,0.14
47,-0.017,0.14
47.05,0,0.122
47.1,0.017,0.122
47.15,0.035,0.105
47.2,0.052,0.105
47.25,0.052,0.105
47.3,0.052,0.087
47.35,0.07,0.087
47.4,0.07,0.087
47.45,0.052,0.087
47.5,0.052,0.087
47.55,0.035,0.087
47.6,0.017,0.105
47.65,0,0.105
47.7,0,0.122
47.75,-0.017,0.122
47.8,-0.035,0.14
47.85,-0.035,0.14
47.9,-0.052,0.14
47.95,-0.052,0.157
48,-0.052,0.157
48.05,-0.035,0.14
48.1,-0.035,0.14
48.15,-0.017,0.14
48.2,0,0.122
48.25,0.017,0.122
48.3,0.035,0.122
48.35,0.035,0.105
48.4,0.052,0.105
48.45,0.052,0.087
48.5,0.07,0.087
48.55,0.07,0.087
48.6,0.052,0.087
48.65,0.052,0.087
48.7,0.035,0.105
48.75,0.017,0.105
48.8,0.017,0.105
48.85,0,0.122
48.9,-0.017,0.122
48.95,-0.035,0.14
49,-0.035,0.14
49.05,-0.052,0.14
49.1,-0.052,0.157
49.15,-0.052,0.157
49.2,-0.035,0.14
49.25,-0.035,0.14
49.3,-0.017,0.14
49.35,0,0.122
49.4,0.017,0.122
49.45,0.035,0.122
49.5,0.035,0.105
49.55,0.052,0.105
49.6,0.052,0.087
49.65,0.07,0.087
49.7,0.07,0.087
49.75,0.052,0.087
49.8,0.052,0.087
49.85,0.035,0.105
49.9,0.035,0.105
49.95,0.017,0.105
50,0,0.122
50.05,-0.017,0.122
50.1,-0.035,0.14
50.15,-0.035,0.14
50.2,-0.052,0.14
50.25,-0.052,0.14
50.3,-0.052,0.157
50.35,-0.035,0.14
50.4,-0.035,0.14
50.45,-0.017,0.14
50.5,0,0.122
50.55,0.017,0.122
50.6,0.017,0.122
50.65,0.035,0.105
50.7,0.052,0.105
50.75,0.052,0.087
50.8,0.07,0.087
50.85,0.07,0.087
50.9,0.052,0.087
50.95,0.052,0.087
51,0.035,0.105
51.05,0.035,0.105
51.1,0.017,0.105
51.15,0,0.122
51.2,-0.017,0.122
51.25,-0.035,0.14
51.3,-0.035,0.14
51.35,-0.052,0.14
51.4,-0.052,0.14
51.45,-0.052,0.14
51.5,-0.035,0.14
51.55,-0.035,0.14
51.6,-0.017,0.14
51.65,0,0.122
51.7,0,0.122
51.75,0.017,0.122
51.8,0.035,0.105
51.85,0.052,0.105
51.9,0.052,0.087
51.95,0.07,0.087
52,0.07,0.087
52.05,0.052,0.087
52.1,0.052,0.087
52.15,0.035,0.105
52.2,0.035,0.105
52.25,0.017,0.105
52.3,0,0.122
52.35,-0.017,0.122
52.4,-0.017,0.14
52.45,-0.035,0.14
52.5,-0.035,0.14
52.55,-0.052,0.14
52.6,-0.052,0.14
52.65,-0.035,0.14
52.7,-0.035,0.14
52.75,-0.017,0.14
52.8,0,0.122
52.85,0,0.122
52.9,0.017,0.122
52.95,0.035,0.105
53,0.052,0.105
53.05,0.052,0.087
53.1,0.052,0.087
53.15,0.07,0.087
53.2,0.052,0.087
53.25,0.052,0.087
53.3,0.052,0.105
53.35,0.035,0.105
53.4,0.017,0.105
53.45,0,0.122
53.5,-0.017,0.122
53.55,-0.017,0.14
53.6,-0.035,0.14
53.65,-0.035,0.14
53.7,-0.052,0.14
53.75,-0.052,0.14
53.8,-0.035,0.14
53.85,-0.035,0.14
53.9,-0.017,0.14
53.95,-0.017,0.122
54,0,0.122
54.05,0.017,0.122
54.1,0.035,0.105
54.15,0.052,0.105
54.2,0.052,0.087
54.25,0.052,0.087
54.3,0.07,0.087
54.35,0.052,0.087
54.4,0.052,0.087
54.45,0.052,0.105
54.5,0.035,0.105
54.55,0.017,0.105
54.6,0,0.122
54.65,-0.017,0.122
54.7,-0.017,0.14
54.75,-0.035,0.14
54.8,-0.035,0.14
54.85,-0.052,0.14
54.9,-0.052,0.14
54.95,-0.035,0.14
55,-0.035,0.14
55.05,-0.017,0.14
55.1,-0.017,0.122
55.15,0,0.122
55.2,0.017,0.122
55.25,0.035,0.105
55.3,0.035,0.105
55.35,0.052,0.105
55.4,0.052,0.087
55.45,0.07,0.087
55.5,0.052,0.087
55.55,0.052,0.087
55.6,0.052,0.105
55.65,0.035,0.105
55.7,0.017,0.105
55.75,0,0.122
55.8,0,0.122
55.85,-0.017,0.14
55.9,-0.035,0.14
55.95,-0.035,0.14
56,-0.052,0.14
56.05,-0.052,0.14
56.1,-0.035,0.14
56.15,-0.035,0.14
56.2,-0.035,0.14
56.25,-0.017,0.122
56.3,0,0.122
56.35,0.017,0.122
56.4,0.035,0.105
56.45,0.035,0.105
56.5,0.052,0.105
56.55,0.052,0.087
56.6,0.052,0.087
56.65,0.052,0.087
56.7,0.052,0.087
56.75,0.052,0.105
56.8,0.035,0.105
56.85,0.017,0.105
56.9,0.017,0.122
56.95,0,0.122
57,-0.017,0.14
57.05,-0.035,0.14
57.1,-0.035,0.14
57.15,-0.035,0.14
57.2,-0.052,0.14
57.25,-0.035,0.14
57.3,-0.035,0.14
57.35,-0.035,0.14
57.4,-0.017,0.122
57.45,0,0.122
57.5,0.017,0.122
57.55,0.035,0.105
57.6,0.035,0.105
57.65,0.052,0.105
57.7,0.052,0.087
57.75,0.052,0.087
